"","",Governmental ,Business-type ,"","",Component
"","",Activities ,Activities ,"",Total ,Units
ASSETS:,"","","","","",""
Cash and investments . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","$ 10,715 ","$ 5,885 ",$ ,"16,600 ","$ 37,502"
"Receivables, net of allowances for uncollectibles:","","","","","",""
Taxes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","10,549 ",—00000 ,"","10,549 ",—00000
Due from Federal government . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","6,347 ",—00000 ,"","6,347 ",—00000
"Loans, leases and notes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","",—00000 ,—00000 ,"",—00000 ,"40,302"
Other . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","2,643 ","3,387 ","","6,030 ","3,250"
Internal balances . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",(539) ,563 ,"",24 ,—00000
Other assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",843 ,220 ,"","1,063 ","5,233"
Intangible assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",—00000 ,—00000 ,"",—00000 ,"2,629"
Capital assets:,"","","","","",""
"Land, infrastructure and construction in progress . . . . . . . . . . . . . . . . . ","","76,153 ","2,495 ","","78,648 ","8,965"
"Buildings, equipment, land improvements ","","","","","",""
"and infrastructure, net of depreciation . . . . . . . . . . . . . . . . . . . . . . . . ","","5,282 ","6,711 ","","11,993 ","56,783"
Total assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","111,993 ","19,261 ","","131,254 ","154,664"
LIABILITIES:,"","","","","",""
Tax refunds payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","8,995 ",—00000 ,"","8,995 ",—00000
Accounts payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","1,126 ",501 ,"","1,627 ",643
Accrued liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","7,069 ","1,195 ","","8,264 ","17,190"
Due to Federal government . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",—00000 ,"3,073 ","","3,073 ",—00000
Payable to local governments . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","6,827 ",—00000 ,"","6,827 ",—00000
Interest payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",521 ,220 ,"",741 ,—00000
Pension contributions payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",79 ,—00000 ,"",79 ,406
