Concept,ComponentUnits,BusinessTypeActivities,CapitalGrantsAndContributions,ChargesForServices,ActivitityExpenses,GovernmentalActivities,OperatingGrantsAndContributions
Statement of Activities,,,,,,,
    statementOfActivities,,,,,,,
        Functions and Programs,,,,,,,
            Component Units,"11,715",,"413,832","173,886",16,,"113,592"
"                Component Units, Bond Bank Authority",46,,,"11,691","275,763",,"1,025"
"                Component Units, College and University Foundation","-2,083",,,"1,977","2,128",,"55,673"
"                Component Units, General",,,,,,,
"                Component Units, Health Reinsurance","-3,995",,,"7,109","11,645",,"56,894"
"                Component Units, Idaho Housing and Finance Association","16,646",,"295,717","149,880","60,954",,"27,512"
"                Component Units, Petroleum Clean Water Trust Fund","1,101",,,"3,229","12,129",,
"            General Revenues, Contributions, and Transfers","5,682","178,453",,,,"2,920,870",
                General Revenues,,,,,,,
"                    General Revenues, Grants and Contributions, Not Restricted",,,,,,,
"                    General Revenues, Investment Earnings",,,,,,"17,365",
"                    General Revenues, Miscellaneous",,,,,,,
"                    General Revenues, State Payments","3,995",,,,,,
"                    General Revenues, Taxes",,,,,,,
"                        General Revenues, Taxes, Business",,,,,,,
"                        General Revenues, Taxes, Consumption and Use",,,,,,,
"                        General Revenues, Taxes, Fuel",,,,,,"216,249",
"                        General Revenues, Taxes, Individual and Corporate",,,,,,"1,390,226",
"                        General Revenues, Taxes, Other",,,,,,"240,757",
"                        General Revenues, Taxes, Personal Income",,,,,,,
"                        General Revenues, Taxes, Sales",,,,,,"1,213,623",
"                    General Revenues, Tobacco Settlement",,,,,,"21,103",
                Permanent Endowment Contributions,"1,687",,,,,,
                Transfers,,"178,453",,,,"-178,453",
            Net Asset Summary,,,,,,,
"                Net Assets, Beginning of Year","562,032","1,623,273",,,,"7,717,652",
"                Net Assets, Change","17,397","228,590",,,,"236,489",
"                Net Assets, End of Year","579,429","1,851,863",,,,"7,954,141",
            Primary Government,,"50,137","2,664,743","1,781,590","188,907","-2,684,381","24,944"
"                Primary Government, Business-type Activities",,"50,137","120,382","1,139,971","7,593,866",,"3,150,520"
"                    Primary Government, Business-type Activities, Correctional Industries",,429,,"8,459","1,600,555",,
"                    Primary Government, Business-type Activities, Loan",,"26,270",,"16,035","134,055",,"485,777"
"                    Primary Government, Business-type Activities, Lottery",,"42,492",,"176,547","123,656",,
"                    Primary Government, Business-type Activities, State Liquor",,"27,285",,"150,941","8,030",,
"                    Primary Government, Business-type Activities, Unemployment Insurance",,"166,211",,"351,781","7,112",,"24,944"
"                    Primary Government, Business-type Activities, Universities",,,,,,,
"                        Primary Government, Business-type Activities, Universities, City University of New York",,,,,,,
"                        Primary Government, Business-type Activities, Universities, General",,"-212,550","452,860","436,208","358,283",,"2,568"
"                        Primary Government, Business-type Activities, Universities, State University of New York",,,,,,,
"                Primary Government, Governmental Activities",,,"300,714","641,619","969,419","-2,684,381",291
"                    Primary Government, Governmental Activities, Economic Development",,,"17,386","266,320","264,080","-99,391",253
"                    Primary Government, Governmental Activities, Education",,,,"14,150","820,530","-1,397,450",32
"                    Primary Government, Governmental Activities, Environment and Recreation",,,,,,,
"                    Primary Government, Governmental Activities, General",,,"62,272","97,411","335,493","-254,116","172,713"
"                    Primary Government, Governmental Activities, Interest Expense",,,,,"5,993,311","-50,372",
"                    Primary Government, Governmental Activities, Natural Resources",,,"1,711,129","159,633","50,372","16,226","1,959"
"                    Primary Government, Governmental Activities, Public Health",,,,"70,603","1,712,567","-614,705",33
"                    Primary Government, Governmental Activities, Public Safety",,,,"33,502","2,396,437","-284,573","17,347"
"                    Primary Government, Governmental Activities, Public Welfare",,,,,,,
"                    Primary Government, Governmental Activities, Transportation",,,,,,,
