Concept,ComponentUnits,BusinessTypeActivities,CapitalGrantsAndContributions,ChargesForServices,ActivitityExpenses,GovernmentalActivities,OperatingGrantsAndContributions
Statement of Activities,,,,,,,
    statementOfActivities,,,,,,,
        Functions and Programs,,,,,,,
            Component Units,,,,,,,
"                Component Units, Bond Bank Authority",,,,,,,
"                Component Units, College and University Foundation",,,,,,,
"                Component Units, General","-4,612",,"2,311","18,774","34,014",,"8,317"
"                Component Units, Health Insurance Exchange",,,,,,,
"                Component Units, Health Reinsurance",,,,,,,
"                Component Units, Idaho Housing and Finance Association",,,,,,,
"                Component Units, Petroleum Clean Water Trust Fund",,,,,,,
"            General Revenues, Contributions, and Transfers","4,590","2,376",,,,"65,667",
                General Revenues,"4,590",841,,,,"67,413",
"                    General Revenues, Grants and Contributions, Not Restricted","1,443",0,,,,0,
"                    General Revenues, Investment Earnings","1,040",367,,,,0,
"                    General Revenues, Miscellaneous","2,107",474,,,,"3,682",
"                    General Revenues, State Payments",,,,,,,
"                    General Revenues, Taxes",,,,,,,
"                        General Revenues, Taxes, Business",0,0,,,,"7,782",
"                        General Revenues, Taxes, Consumption and Use",0,0,,,,"14,492",
"                        General Revenues, Taxes, Fuel",,,,,,,
"                        General Revenues, Taxes, Individual and Corporate",,,,,,,
"                        General Revenues, Taxes, Other",0,0,,,,"3,128",
"                        General Revenues, Taxes, Personal Income",0,0,,,,"38,329",
"                        General Revenues, Taxes, Sales",,,,,,,
"                    General Revenues, Tobacco Settlement",,,,,,,
                Permanent Endowment Contributions,,,,,,,
                Special Item,,,,,,,
                Transfers,0,"1,535",,,,"-1,746",
            Net Asset Summary,,,,,,,
"                Net Assets, Beginning of Year","38,007",-618,,,,"27,648",
"                Net Assets, Change",-22,-40,,,,"-1,315",
"                Net Assets, End of Year","37,985",-658,,,,"26,333",
            Primary Government,0,"-2,416","1,524","25,827","153,396","-66,982","56,647"
"                Primary Government, Business-type Activities",0,"-2,416",95,"13,065","25,596",0,"10,020"
"                    Primary Government, Business-type Activities, Correctional Industries",,,,,,,
"                    Primary Government, Business-type Activities, Loan",,,,,,,
"                    Primary Government, Business-type Activities, Lottery",0,"2,852",0,"8,439","5,587",0,0
"                    Primary Government, Business-type Activities, State Liquor",,,,,,,
"                    Primary Government, Business-type Activities, Unemployment Insurance",0,-40,0,0,"7,363",0,"7,323"
"                    Primary Government, Business-type Activities, Universities",,,,,,,
"                        Primary Government, Business-type Activities, Universities, City University of New York",0,"-1,412",0,622,"2,937",0,903
"                        Primary Government, Business-type Activities, Universities, General",,,,,,,
"                        Primary Government, Business-type Activities, Universities, State University of New York",0,"-3,816",95,"4,004","9,709",0,"1,794"
"                Primary Government, Governmental Activities",0,0,"1,429","12,762","127,800","-66,982","46,627"
"                    Primary Government, Governmental Activities, Economic Development",0,0,0,"1,527","1,625",-79,19
"                    Primary Government, Governmental Activities, Education",0,0,0,99,"30,828","-26,607","4,122"
"                    Primary Government, Governmental Activities, Environment and Recreation",0,0,0,269,"1,653","-1,028",356
"                    Primary Government, Governmental Activities, General",0,0,0,"2,426","5,641","-2,380",835
"                    Primary Government, Governmental Activities, Interest Expense",0,0,0,0,"1,922","-1,879",43
"                    Primary Government, Governmental Activities, Natural Resources",,,,,,,
"                    Primary Government, Governmental Activities, Public Health",0,0,67,"6,159","58,817","-23,833","28,758"
"                    Primary Government, Governmental Activities, Public Safety",0,0,12,163,"6,264","-5,502",587
"                    Primary Government, Governmental Activities, Public Welfare",0,0,3,636,"12,703",-692,"11,372"
"                    Primary Government, Governmental Activities, Transportation",0,0,"1,347","1,483","8,347","-4,982",535
