Concept,ComponentUnits,BusinessTypeActivities,CapitalGrantsAndContributions,ChargesForServices,ActivitityExpenses,GovernmentalActivities,OperatingGrantsAndContributions
Statement of Activities,,,,,,,
    statementOfActivities,,,,,,,
        Functions and Programs,,,,,,,
            Component Units,"64,007",,"186,031","143,852","265,876",,"25,084"
"                Component Units, Bond Bank Authority",-647,,,"14,609","13,857",,
"                Component Units, College and University Foundation","56,640",,,"1,628","57,256",,"47,852"
"                Component Units, General",,,,,,,
"                Component Units, Health Reinsurance","-3,801",,,"9,425","14,053",,"112,268"
"                Component Units, Idaho Housing and Finance Association","-1,317",,"276,408","114,780","163,949",,"22,911"
"                Component Units, Petroleum Clean Water Trust Fund",702,,,"2,207","1,505",,
"            General Revenues, Contributions, and Transfers","6,493","201,688",,,,"3,456,553",
                General Revenues,,,,,,,
"                    General Revenues, Grants and Contributions, Not Restricted",,,,,,,
"                    General Revenues, Investment Earnings",,,,,,"14,374",
"                    General Revenues, Miscellaneous",,,,,,,
"                    General Revenues, State Payments","3,801",,,,,,
"                    General Revenues, Taxes",,,,,,,
"                        General Revenues, Taxes, Business",,,,,,,
"                        General Revenues, Taxes, Consumption and Use",,,,,,,
"                        General Revenues, Taxes, Fuel",,,,,,"262,479",
"                        General Revenues, Taxes, Individual and Corporate",,,,,,"1,739,957",
"                        General Revenues, Taxes, Other",,,,,,"213,434",
"                        General Revenues, Taxes, Personal Income",,,,,,,
"                        General Revenues, Taxes, Sales",,,,,,"1,400,547",
"                    General Revenues, Tobacco Settlement",,,,,,"27,450",
                Permanent Endowment Contributions,"2,692",,,,,,
                Special Item,,,,,,,
                Transfers,,"201,688",,,,"-201,688",
            Net Asset Summary,,,,,,,
"                Net Assets, Beginning of Year","675,942","1,984,896",,,,"8,395,032",
"                Net Assets, Change","70,500","185,665",,,,"790,905",
"                Net Assets, End of Year","746,442","2,170,561",,,,"9,185,937",
            Primary Government,,"-16,023","2,941,720","1,811,107","7,762,559","-2,665,648","17,594"
"                Primary Government, Business-type Activities",,"-16,023","360,935","1,112,176","1,450,943",,"3,246,870"
"                    Primary Government, Business-type Activities, Correctional Industries",,-149,,"7,862","8,011",,
"                    Primary Government, Business-type Activities, Loan",,"18,728",,"11,328","7,915",,"305,150"
"                    Primary Government, Business-type Activities, Lottery",,"47,498",,"209,642","162,144",,
"                    Primary Government, Business-type Activities, State Liquor",,"27,986",,"165,892","137,906",,
"                    Primary Government, Business-type Activities, Unemployment Insurance",,"127,309",,"258,072","144,190",,"17,594"
"                    Primary Government, Business-type Activities, Universities",,,,,,,
"                        Primary Government, Business-type Activities, Universities, City University of New York",,,,,,,
"                        Primary Government, Business-type Activities, Universities, General",,"-237,395","394,535","459,380","990,777",,"5,317"
"                        Primary Government, Business-type Activities, Universities, State University of New York",,,,,,,
"                Primary Government, Governmental Activities",,,"269,064","698,931","6,311,616","-2,665,648","1,781"
"                    Primary Government, Governmental Activities, Economic Development",,,"13,065","271,894","785,184","-116,455",87
"                    Primary Government, Governmental Activities, Education",,,,"14,539","1,756,231","-1,472,541","1,124"
"                    Primary Government, Governmental Activities, Environment and Recreation",,,,,,,
"                    Primary Government, Governmental Activities, General",,,"101,314","90,314","513,746","-322,093","13,427"
"                    Primary Government, Governmental Activities, Interest Expense",,,,,"51,600","-51,600",
"                    Primary Government, Governmental Activities, Natural Resources",,,"1,802,807","175,271","247,294","290,693","2,300"
"                    Primary Government, Governmental Activities, Public Health",,,,"104,968","2,592,563","-684,788",25
"                    Primary Government, Governmental Activities, Public Safety",,,,"41,945","364,998","-308,864","15,315"
"                    Primary Government, Governmental Activities, Public Welfare",,,,,,,
"                    Primary Government, Governmental Activities, Transportation",,,,,,,
