Concept,ComponentUnits,BusinessTypeActivities,CapitalGrantsAndContributions,ChargesForServices,ActivitityExpenses,GovernmentalActivities,OperatingGrantsAndContributions
Statement of Activities,,,,,,,
    statementOfActivities,,,,,,,
        Functions and Programs,,,,,,,
            Component Units,,,,,,,
"                Component Units, Bond Bank Authority",,,,,,,
"                Component Units, College and University Foundation",,,,,,,
"                Component Units, General","-4,425",,"2,483","17,995","33,250",,"8,347"
"                Component Units, Health Reinsurance",,,,,,,
"                Component Units, Idaho Housing and Finance Association",,,,,,,
"                Component Units, Petroleum Clean Water Trust Fund",,,,,,,
"            General Revenues, Contributions, and Transfers","4,392","2,108",,,,"64,831",
                General Revenues,"4,392",801,,,,"66,570",
"                    General Revenues, Grants and Contributions, Not Restricted","1,214",0,,,,0,
"                    General Revenues, Investment Earnings","1,141",208,,,,84,
"                    General Revenues, Miscellaneous","2,037",593,,,,"4,663",
"                    General Revenues, State Payments",,,,,,,
"                    General Revenues, Taxes",,,,,,,
"                        General Revenues, Taxes, Business",0,0,,,,"6,892",
"                        General Revenues, Taxes, Consumption and Use",0,0,,,,"14,115",
"                        General Revenues, Taxes, Fuel",,,,,,,
"                        General Revenues, Taxes, Individual and Corporate",,,,,,,
"                        General Revenues, Taxes, Other",0,0,,,,"3,187",
"                        General Revenues, Taxes, Personal Income",0,0,,,,"37,629",
"                        General Revenues, Taxes, Sales",,,,,,,
"                    General Revenues, Tobacco Settlement",,,,,,,
                Permanent Endowment Contributions,,,,,,,
                Transfers,0,"1,307",,,,"-1,739",
            Net Asset Summary,,,,,,,
"                Net Assets, Beginning of Year","38,054",114,,,,"27,900",
"                Net Assets, Change",-33,-732,,,,-252,
"                Net Assets, End of Year","38,021",618,,,,"27,648",
            Primary Government,0,"-2,840","1,503","24,010","157,953","-65,083","64,517"
"                Primary Government, Business-type Activities",0,"-2,840",76,"12,285","26,646",0,"11,445"
"                    Primary Government, Business-type Activities, Correctional Industries",,,,,,,
"                    Primary Government, Business-type Activities, Loan",,,,,,,
"                    Primary Government, Business-type Activities, Lottery",0,"2,618",0,"7,868","5,250",0,0
"                    Primary Government, Business-type Activities, State Liquor",,,,,,,
"                    Primary Government, Business-type Activities, Unemployment Insurance",0,-601,0,0,"9,414",0,"8,813"
"                    Primary Government, Business-type Activities, Universities",,,,,,,
"                        Primary Government, Business-type Activities, Universities, City University of New York",0,"-1,471",0,614,"2,950",0,865
"                        Primary Government, Business-type Activities, Universities, General",,,,,,,
"                        Primary Government, Business-type Activities, Universities, State University of New York",0,"-3,386",76,"3,803","9,032",0,"1,767"
"                Primary Government, Governmental Activities",0,0,"1,427","11,725","131,307","-65,083","53,072"
"                    Primary Government, Governmental Activities, Economic Development",0,0,0,"1,413","1,827",-397,17
"                    Primary Government, Governmental Activities, Education",0,0,0,119,"32,478","28,156","4,203"
"                    Primary Government, Governmental Activities, Environment and Recreation",0,0,255,315,"1,625",-883,172
"                    Primary Government, Governmental Activities, General",0,0,0,"1,848","9,707","-5,551","2,308"
"                    Primary Government, Governmental Activities, Interest Expense",0,0,0,0,"2,040","-2,010",30
"                    Primary Government, Governmental Activities, Natural Resources",,,,,,,
"                    Primary Government, Governmental Activities, Public Health",0,0,0,"5,687","52,618","-13,885","33,046"
"                    Primary Government, Governmental Activities, Public Safety",0,0,19,167,"6,143","-5,413",544
"                    Primary Government, Governmental Activities, Public Welfare",0,0,3,751,"17,091","-4,501","11,836"
"                    Primary Government, Governmental Activities, Transportation",0,0,"1,150","1,425","7,778","-4,287",916
